Название;Владелец;Тип;Флаг;MMSI;IMO;Позывной;Размер;GT;Грузоподъёмн.;Макс. скорость;Обновлено;Назначения;РВП;Морской статус;Особый груз;Скорость;Осадка;Курс;Направление;Расположение;Статус;Порт приписки;Судостроит. завод;Классифицировано;Год;Палубы;Материал корпуса;Номер корпуса;Тип корпуса;Производитель;Модель;Номер;Мощность (кВт/л.с.);Об./мин.;Тип двигателя;Ход цилиндра;Диаметр цилиндра;Подруль;Силовая установка;Кол. установок;Адрес;Индекс;Город;Страна;Телефон;Факс;E-Mail;Сайт;Грузоподъёмность;Gross Tonnage;Net Tonnage;Компенсированный GT;Водоизмещение;TPC;Длинна (ОДС);Длинна (ДМП);Ширина;Глубина;Высота;Киповая грузовм.;Зерновая грузовм.;Грузовм. рефрижераторных грузов;Рефрижераторный ДФЭ;ДФЭ;Пассажиры;SWL-устройство;Данные устройства;Тип устройства;Трюмы;Люки;Макс. размер люка;Грузовм. жидких грузов;Система инертного газа;Промывка рез. сырой нефтью;Химический Класс IMO;Насосы;Подача насоса;Резервуары;Классы
Antares;;-;Russian Federation;273369880;7392634;UGVD;53x12 m;"<span title=""Сегодня, 7:11"">8ч назад</span>"; ; ;На Ходу;Ни одного;(Ø6,3 kn);-;166,1° ;163°;"45°38'27"" N 47°42'44"" E"
"""Arbat""";Aqualex Transit Inc;Diesel;Russian Federation;273421660;8956607;UBGK;90x12 m;1 772 t;1 973 t;10 kn;"<span title=""Сегодня, 14:51"">3мин назад</span>"; ; ;На Якоре;Ни одного;(Ø4,8 kn);3,4 m;134° ;308°;"39°41'42"" N 53°10'22"" E";In Service;Astrakhan;Novi Sad;Russian Maritime Register;1986;-;Steel;-;-;Alpha;6T23LU;-;920 / 1 250;-;-;-;-;-;Fixed Pitch;-;ul Barklaya 17, Moscow, 121309, Russia;121309;Moscow; ;+79093727225;-;info@shippingexplorer.net;-;1 973 t;1 772 t;587 t;-;-;-;89,1 m;83 m;12,2 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Aressa;Aressa Shipping Ltd;Diesel;671956000;7612498;5VFF6;95x13 m;1 926 t;2 649 t;11,3 kn;13 августа, 3:49; ; ;На Ходу;Ни одного;(Ø5 kn);4,1 m;181,4° ;187°;"25°22'03"" N 80°01'29"" W";In Service;St Petersburg;-;Turku;Russian Maritime Register;1978;-;Steel;-;-;-;6NVDS48A-2U;-;1 280 / 1 740;375 rpm;-;-;-;-;Fixed Pitch;-;Office 6116, ploshchad Morskoy Slavy 1;199106;St Petersburg; ;+7 812 449 0125;+7 812 449 0120;info@shippingexplorer.net;-;2 649 t;1 926 t;931 t;-;-;-;95 m;90,2 m;13,2 m;5,5 m;-;3 475 m²;-;-;-;-;-;-;Gearless;-;-;-;16.50x10.20;-;-;-;-;-;-;-;-
Arzuv;Hartmann A;Diesel;434123400;9581904;EZHS;35x7 m;168 t;74 t;25,5 kn;"<span title=""Сегодня, 14:52"">только что</span>"; ; ;На Ходу;Ни одного;(Ø0,5 kn);1,9 m;357° ;-;"39°24'57"" N 53°06'07"" E";In Service;Kingstown;-;Haiphong;Bureau Veritas;2010;-;Aluminium Alloy;544816;-;Caterpillar;-;-;2 091 / 2 844;2 100 rpm;-;-;-;-;Fixed Pitch;-;Cyprus;26789;Leer (Ostfriesland); ;+49 491 4581;+49 491 4026;info@shippingexplorer.net;-;74 t;168 t;50 t;1 103 t;-;-;34,4 m;32 m;6,5 m;3,3 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arctic;-;-;Russian Federation;273359480;9658288;UBDJ9;Вчера, 5:46; ; ;На Ходу;Ни одного;(Ø6,5 kn);3,4 m;171,6° ;170°;"45°25'12"" N 47°46'28"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;ul. Kosmonavta Volkova 12;127299;Moskva; ;+7 495 258 8773;+7 495 258 8775;info@shippingexplorer.net;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arcticaborg;Wagenborg Shipping BV;Diesel-Electric;Canada;316111000;9184976;PJRT;65x17 m;1 453 t;675 t;13 kn;18 августа, 2:40; ; ;На Ходу;Ни одного;(Ø8,1 kn);2,9 m;106,4° ;102°;"47°43'44"" N 52°04'24"" W";In Service;Aqtau;Helsinki;Russian Maritime Register;1998;-;Steel;-;-;Wartsila;6L26;-;3 900 / 5 302;1 000 rpm;-;-;-;B-1-150;Azimuth;-;Marktstraat 10, 9934 CK Delfzijl;9934 CK;Delfzijl; ;+31 596 636911;+31 596 636250;certificates.fmd@wagenborg.com;-;675 t;1 453 t;454 t;-;-;-;65,1 m;60,6 m;16,4 m;4,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arktur;Mainport;Diesel;Russian Federation;273399690;7404839;UBDP9;65x14 m;1 299 t;2 073 t;11,5 kn;26 июля, 14:50; ; ;На Якоре;Ни одного;(Ø0 kn);3,6 m;315,8° ;-;"46°19'25"" N 47°58'39"" E";In Service;Aqtau;Lowestoft;Registro Italiano Navale;1975;-;Steel;-;-;Nohab;F216V;-;5 178 / 7 040;825 rpm;-;-;-;B-1-412;Controllable Pitch;-;Monahan Road, Cork, Ireland;-;Cork; ;+44 1463 713323;+44 1463 233035;info@mainport.ie;-;2 073 t;1 299 t;389 t;-;-;-;64,3 m;56,4 m;14,1 m;6,9 m;-;-;-;-;-;-;-;-;C-1-10;Cranes;-;-;-;-;-;-;-;-;-;-;-
Arctur;Top Shipping & Trading Co Ltd;Diesel;511472000;8889402;T8A2555;108x13 m;2 360 t;3 183 t;10 kn;"<span title=""Сегодня, 14:50"">4мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,2 m;113,6° ;110°;"47°07'10"" N 39°25'05"" E";In Service;Kaliningrad;-;Oltenita;Russian Maritime Register;1980;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401;topshad@te.nat.ua;-;3 183 t;2 360 t;870 t;-;-;-;108,4 m;105 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Armada Leader;Palmali Shipping & Agency;Diesel;Russian Federation;273448000;9260483;UAWD;138x16 m;4 522 t;6 477 t;10 kn;"<span title=""Сегодня, 4:30"">10ч назад</span>"; ; ;На Якоре;Ни одного;(Ø6,7 kn);4,3 m;54° ;314°;"44°52'23"" N 36°37'56"" E";In Service;Taganrog;Tuzla;Russian Maritime Register;2002;-;Steel;-;Double Hull;Wartsila;6L20;-;2 240 / 3 046;1 000 rpm;-;-;-;B-1-230;Directional;-;Ozel Sektor, Tersaneler Cad No 4;81160;Istanbul; ;+90 216 395 0752;+90 216 395 4503;-;http://www.selahshipyard.com/;6 477 t;4 522 t;1 904 t;-;-;22 t;138,7 m;132,8 m;16,8 m;-;26 m;-;-;-;-;-;-;-;-;-;-;-;-;7 196;-;-;-;U-6-150;-;-;-
Armadi Navigator;Palmali Shipping & Agency;Diesel;Russian Federation;273437544;9314727;UDOU;130x17 m;4 522 t;6 444 t;10 kn;"<span title=""Сегодня, 7:29"">7ч назад</span>"; ; ;На Ходу;Ни одного;(Ø3,9 kn);4,3 m;129,4° ;126°;"47°07'43"" N 39°22'48"" E";In Service;Taganrog;Istanbul;Russian Maritime Register;2004;-;Steel;-;Double Hull;Wartsila;6L20;-;2 240 / 3 046;1 000 rpm;-;-;-;B-1-230;Directional;-;Tuzla Tersaneler Caddesi, 34944 Tuzla;34944;Istanbul; ;+90 216 446 7427;+90 216 395 3918;-;http://www.tersanshipyard.com/;6 444 t;4 522 t;1 904 t;-;-;-;138,7 m;132,8 m;16,7 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7 221;-;-;-;U-6-150;-;-;-
Armada Trader;Palmali Shipping & Agency;Diesel;Russian Federation;273571852;9297199;UHAP;139x9 m;4 522 t;6 477 t;10 kn;Вчера, 20:44; ; ;На Якоре;Ни одного;(Ø0,2 kn);4,3 m;-;-;"47°10'10"" N 39°33'48"" E";In Service;Taganrog;Tuzla;Russian Maritime Register;2004;-;Steel;-;Double Hull;Wartsila;6L20;-;2 240 / 3 046;1 000 rpm;-;-;-;B-1-230;Directional;-;Ozel Sektor, Tersaneler Cad No 4;81160;Istanbul; ;+90 216 395 0752;+90 216 395 4503;-;http://www.selahshipyard.com/;6 477 t;4 522 t;1 904 t;-;-;-;138,7 m;132,8 m;16,9 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7 221;-;-;-;U-6-150;-;-;-
Armanborg;Wagenborg Shipping BV;Diesel-Electric;Kazakhstan;436000148;8959879;UNAF;45x13 m;622 t;12 kn;"<span title=""Сегодня, 7:26"">7ч назад</span>"; ; ;На Ходу;Ни одного;(Ø4,7 kn);3,1 m;252,6° ;248°;"45°34'29"" N 50°27'50"" E";In Service;Aqtau;Helsinki;Bureau Veritas;1989;-;Steel;-;-;-;-;-;3 008 / 4 090;-;-;-;-;-;Controllable Pitch;-;Marktstraat 10, 9934 CK Delfzijl;9934 CK;Delfzijl; ;+31 596 636911;+31 596 636250;certificates.fmd@wagenborg.com;-;-;622 t;186 t;-;-;-;44,4 m;42,6 m;12,5 m;4,6 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Astana;Kazmortransflot LLP;Diesel;Kazakhstan;436000027;9323091;-;149x17 m;7 224 t;12 360 t;10,6 kn;20 августа, 5:58; ; ;На Ходу;IMO Hazard A;(Ø8,8 kn);4,1 m;22° ;-;"44°01'40"" N 48°48'05"" E";In Service;Aqtau;Vyborg;Russian Maritime Register;2005;-;Steel;-;Double Hull;MAN B&W;6S26MC;-;2 301 / 3 128;250 rpm;-;-;-;-;Fixed Pitch;-;Primorskoye Shosse 2b, 188800 Vyborg;188800;Vyborg; ;+7 813 782 8686;+7 813 782 8952;-;http://www.vyborgshipyard.ru/;12 360 t;7 224 t;3 517 t;-;3 410 t;24,3 t;149,4 m;143,2 m;17,3 m;10,1 m;28,5 m;-;-;-;-;-;-;-;-;-;-;-;-;15 000;-;-;-;U-12-125;-;-;-
Aston_Challenger;Aston Ltd-Rostov;Diesel;Russian Federation;273454720;8883252;UBRY;88x12 m;1 914 t;2 700 t;10 kn;"<span title=""Сегодня, 14:53"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0,1 kn);-;158,4° ;236°;"43°34'53"" N 51°12'31"" E";In Service;Taganrog;Belgrade;Russian Maritime Register;1985;-;Steel;1109;Double Hull;Alpha;6T23LU;-;920 / 1 250;-;-;-;-;-;Fixed Pitch;-;ul 13-aya Liniya 93, Rostov-na-Donu, 344019;344019;Rostov-na-Donu; ;+7 863 261 8131;+7 863 261 8130;comm@rostov.aston.ru;-;2 700 t;1 914 t;576 t;-;-;-;89,7 m;81,4 m;12,2 m;5,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;2 533;-;-;-;U-2-150;-;-;-
Astra 1;Briz Firma Ltd;Diesel;511421000;8881292;T8A2557;107x14 m;2 447 t;3 177 t;11 kn;"<span title=""Сегодня, 14:51"">3мин назад</span>"; ; ;На Якоре;Ни одного;(Ø1,5 kn);3,3 m;36,7° ;-;"25°31'26"" N 55°15'59"" E";In Service;Kaliningrad;-;Krasnoyarsk;Russian Maritime Register;1978;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;Office 316, Building 14, ul Sofiyskaya 2B;192236;St Petersburg; ;+7 812 449 9743;+7 812 449 9744;briz@sovintel.ru;-;3 177 t;2 447 t;967 t;-;-;-;108,2 m;105 m;14,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Astrakhan City;Shipping Co Rosmortrans Ltd;Diesel;Russian Federation;273348300;9080156;UITI;138x17 m;4 409 t;5 619 t;10 kn;"<span title=""Сегодня, 11:44"">3ч 3мин назад</span>"; ; ;На Ходу;Ни одного;(Ø5,2 kn);4,1 m;191,9° ;193°;"47°31'59"" N 40°45'12"" E";In Service;Astrakhan;Rousse;Russian Maritime Register;1994;-;Steel;-;Double Hull;-;8NVDS48A-2U;-;1 764 / 2 398;390 rpm;-;-;-;-;Fixed Pitch;-;"126A, Savushkina str., BC ""Atlantic City""";197374;Saint-Petersburg; ;+7 812 3312411;+7 812 3312410;rosmortrans@rambler.ru;-;5 619 t;4 409 t;1 353 t;-;1 411 t;-;138 m;130,4 m;17 m;6,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;5 300;-;-;IMO 2;2-P-450;-;-;-
Atria;Top Shipping & Trading Co Ltd;Diesel;511471000;8867301;T8A2554;108x15 m;2 447 t;3 197 t;11 kn;"<span title=""Сегодня, 14:54"">только что</span>"; ; ;На Ходу;Ни одного;(Ø7,4 kn);3,3 m;241,5° ;244°;"46°38'35"" N 32°38'55"" E";In Service;Kaliningrad;-;Krasnoyarsk;Russian Maritime Register;1978;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;Office 316, Building 14, ul Sofiyskaya 2B;192236;St Petersburg; ;+7 812 449 9743;+7 812 449 9744;topshad@te.nat.ua;-;3 197 t;2 447 t;967 t;-;-;-;108,2 m;105 m;14,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Atyrau;Kazmortransflot LLP;Diesel;Kazakhstan;436000139;9539810;-;150x17 m;7 848 t;13 470 t;10 kn;Вчера, 13:46; ; ;Пришвартовано;IMO Hazard A;(Ø0 kn);3,6 m;172° ;-;"46°19'06"" N 47°58'28"" E";In Service;Aqtau;Nizhniy Novgorod;Russian Maritime Register;2009;-;Steel;19619/11;Double Hull;Wartsila;9L20;-;2 754 / 3 744;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-;http://www.mnpglobal.com/;13 470 t;7 848 t;3 356 t;-;3 700 t;-;150,2 m;143,1 m;17,3 m;10,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;14 475;-;-;-;-;-;-;-
Balt Flot 12;;-;Russian Federation;273380460;9804241;UFST;141x17 m;"<span title=""Сегодня, 9:52"">5ч 5мин назад</span>"; ; ;На Ходу;Ни одного;(Ø4,3 kn);3,2 m;120° ;-;"59°46'06"" N 30°45'14"" E"
Baltiyskiy-40;Turash;Diesel;Russian Federation;273434910;6703771;UIZG;96x13 m;1 948 t;2 817 t;10 kn;"<span title=""Сегодня, 6:10"">9ч назад</span>"; ; ;На Ходу;Ни одного;(Ø7,3 kn);3,9 m;158,1° ;158°;"43°01'48"" N 51°28'53"" E";In Service;Astrakhan;Kaliningrad;Russian Maritime Register;1965;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;-;-;-;-;-;Fixed Pitch;-;ul Transportny Tupick 10, 236005 Kaliningrad;236002;Kaliningrad; ;+7 401 264 7540;+7 401 247 2243;-;http://www.shipyard-yantar.ru;2 817 t;1 948 t;825 t;-;-;-;95,6 m;-;13,2 m;5,5 m;-;3 467 m²;-;-;-;-;-;-;-;-;-;-;16.50x9.30;-;-;-;-;-;-;-;-
Baron;Metship Ltd;Diesel;Russian Federation;273341900;7941239;UFHO;119x13 m;2 615 t;3 373 t;11 kn;"<span title=""Сегодня, 2:13"">2:13</span>"; ; ;Пришвартовано;Ни одного;(Ø6,1 kn);3,8 m;22,5° ;283°;"46°37'59"" N 31°35'09"" E";In Service;Astrakhan;Perm;Russian Maritime Register;1980;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;428 rpm;-;-;-;-;Fixed Pitch;-;ul Ostrovnaya 2, Moscow, 121552, Russia;121552;Moscow; ;+7 495 234 5247;+7 495 234 5248;office@mellord.ru;-;3 373 t;2 615 t;1 159 t;-;-;-;118,9 m;112,8 m;13,5 m;5,8 m;-;-;1 821 m²;-;-;-;-;-;-;-;-;-;70.40x4.90;3 556;-;-;-;-;-;-;-
Batyrkhan;;-;Kazakhstan;436000298;9384277;UNFZ;31x10 m;09 августа, 23:42; ; ;На Ходу;Ни одного;(Ø5 kn);2,6 m;-;166°;"45°01'10"" N 48°32'27"" E"
Bashir Safaroglu;Palmali Shipping & Agency;Diesel;Russian Federation;273336920;9435351;UBTF3;140x17 m;4 681 t;7 072 t;10,5 kn;"<span title=""Сегодня, 14:54"">только что</span>";For Order; ;На Ходу;Ни одного;(Ø0,3 kn);4,6 m;46,9° ;304°;"41°00'31"" N 1°51'18"" E";In Service;Taganrog;Nizhniy Novgorod;Russian Maritime Register;2008;-;Steel;07003;Double Hull;Wartsila;6L20;-;2 400 / 3 264;1 000 rpm;-;-;-;B-1-230;Directional;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-;http://www.mnpglobal.com/;7 072 t;4 681 t;2 273 t;-;2 502 t;-;140 m;134 m;16,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7 833;-;-;-;U-6-150;-;-;-
Begey;Volga Trans Servis-Broker;Diesel;Russian Federation;273421560;8943210;UDZQ;86x12 m;1 745 t;1 648 t;12 kn;Вчера, 22:13; ; ;На Якоре;Ни одного;(Ø6,5 kn);3,1 m;197° ;195°;"46°16'29"" N 47°56'58"" E";In Service;Astrakhan;Zrenjanin;Russian Maritime Register;1985;-;Steel;-;-;Alpha;6T23LU;-;920 / 1 250;-;-;-;-;-;Fixed Pitch;-;Office 509, ul Bakinskaya 128, Astrakhan, 414000, ;414000;Astrakhan; ;+7 851 233 7322;+7 851 234 2997;office@import-expotr.ru;-;1 648 t;1 745 t;631 t;-;-;-;86,2 m;82,4 m;12 m;3,5 m;-;-;2 200 m²;-;-;-;-;-;-;-;-;-;40.70x9.00;-;-;-;-;-;-;-;-
Beket Ata;White Sea - Onega Shipping;Diesel;Kazakhstan;436000241;9519236;UNDU;108x16 m;4 182 t;5 467 t;11,5 kn;"<span title=""Сегодня, 14:55"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0,2 kn);4,8 m;321° ;228°;"43°34'58"" N 51°11'42"" E";In Service;Panama City;Petrozavodsk;Russian Maritime Register;2009;-;Steel;-;Double Hull;Wartsila;6L20;-;2 040 / 2 774;1 000 rpm;-;-;-;B-1-100;Z Type;-;ul Rigachina 25, 185005 Petrozavodsk;185005;Petrozavodsk; ;+7 814 271 7401;+7 814 271 1255;-;http://eng.osby.ru/;5 467 t;4 182 t;2 373 t;-;-;-;108,3 m;102,2 m;16,7 m;5,5 m;-;-;7 833 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Beryl;Blue Wave Shipping Inc;Diesel;Russian Federation;273419510;8899976;UBYP;108x15 m;2 454 t;3 201 t;10 kn;17 августа, 14:45;-; ;Пришвартовано;Ни одного;(Ø4,8 kn);3,3 m;151,2° ;239°;"47°07'15"" N 39°23'17"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1982;-;Steel;-;-;-;8NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401;bluewaveshipping@comcast.net;-;3 201 t;2 454 t;969 t;-;-;-;108,4 m;101,8 m;15 m;-;-;4 340 m²;4 677 m²;-;-;-;-;-;-;-;-;-;15.40x11.00;-;-;-;-;-;-;-;-
Best-1;DAF Co Ltd;Diesel;Russian Federation;273446690;8868537;UBIP;83x12 m;1 575 t;2 235 t;17 июля, 6:47; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,9 m;255° ;-;"46°22'51"" N 48°01'26"" E";In Service;Astrakhan;Rosslau;Russian Maritime Register;1978;-;Steel;-;-;-;-;8VD36/24A-1;-;870 / 1 182;-;-;-;-;-;Fixed Pitch;-;ul Naberezhnaya 11/10, Privolzhskiy Zaton;414024;Astrakhan; ;+7 851 222 0976;+7 851 239 4286;dafru@astranet.ru;-;2 235 t;1 575 t;580 t;-;-;-;82 m;78,1 m;11,9 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bizon;;-;Russian Federation;273369090;8685947;UAXE-4;51x12 m;20 августа, 4:48; ; ;На Якоре;Ни одного;(Ø4,5 kn);2,2 m;208,4° ;203°;"46°18'39"" N 47°58'15"" E"
Bue Ob;;-;Russian Federation;273333360;9358993;UBFK3;18x6 m;13 августа, 19:37; ; ;Под Парусом;Ни одного;(Ø11,6 kn);-;294,2° ;-;"44°59'43"" N 48°33'12"" E"
Bue_Chu;Topaz Energy & Marine Ltd;Diesel;Russian Federation;273339550;9358333;UBCK8;537 t;08 июля, 12:36; ; ;Пришвартовано;Ни одного;(Ø7,5 kn);2,5 m;-;-;"44°32'55"" N 50°15'06"" E";In Service;Aqtau;Singapore;Det Norske Veritas;2005;-;Steel;-;-;-;Caterpillar;3512B;-;1 854 / 2 520;1 200 rpm;-;-;-;-;-;-;17 Pandan Road, Singapore 609296;609296;Singapore; ;+65 6268 8118;+65 6264 1041;bue.marine@nursat.kz;http://www.presmarine.com;-;537 t;162 t;-;-;-;39,6 m;-;12,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Blue Lake Star;;-;Russian Federation;273392110;9729582;UBQP9;140x16 m;"<span title=""Сегодня, 14:53"">2мин назад</span>"; ; ;На Якоре;Ни одного;(Ø8,7 kn);3,4 m;-;346°;"41°16'27"" N 28°59'28"" E"
Borodino;Armator Co Ltd;Diesel;Russian Federation;273433790;9340881;UGVJ;141x17 m;4 378 t;5 600 t;10 kn;"<span title=""Сегодня, 14:54"">только что</span>"; ; ;На Якоре;Ни одного;(Ø3,1 kn);3,7 m;-;234°;"45°29'05"" N 36°47'51"" E";In Service;St Petersburg;Nizhniy Novgorod;Russian Maritime Register;2005;-;Steel;19614/9;Double Hull;Wartsila;6L20;-;1 860 / 2 528;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-;http://www.mnpglobal.com/;5 600 t;4 378 t;1 313 t;-;2 320 t;22 t;141 m;134,9 m;16,9 m;6,1 m;26 m;-;-;-;-;-;-;-;-;-;-;-;-;6 721;-;-;-;U-2-250;-;-;-
Bosco Gilan;Bonyad Shipping Co;Diesel;Iran;422872000;9188752;EPAE3;140x16 m;4 953 t;6 277 t;10 kn;"<span title=""Сегодня, 14:53"">3мин назад</span>"; ; ;На Ходу;Ни одного;(Ø6,8 kn);4,7 m;286° ;286°;"43°42'44"" N 50°27'46"" E";In Service;Bandar Anzali;Nizhniy Novgorod;Russian Maritime Register;1999;-;Steel;19610/42;-;-;6VDS29/24AL-2;-;2 200 / 2 992;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-;http://www.mnpglobal.com/;6 277 t;4 953 t;1 645 t;-;-;-;139,9 m;134 m;16,7 m;6,7 m;-;6 675 m²;6 795 m²;-;-;-;-;-;-;-;-;-;18.70x0.00;-;-;-;-;-;-;-;-
Brothers_3;Palmali Shipping & Agency;Diesel;Russian Federation;273452150;9035369;UCJZ;122x15 m;2 870 t;3 397 t;10 kn;31 марта, 9:00; ; ;Пришвартовано;Ни одного;(Ø0,4 kn);3,3 m;309° ;-;"46°16'24"" N 47°56'33"" E";In Service;Taganrog;Rousse;Russian Maritime Register;1992;-;Steel;-;Double Hull;-;6NVD48A-2U;-;1 280 / 1 740;375 rpm;-;-;-;-;Fixed Pitch;-;Office 602, prospekt Budyonnovskiy 2;344007;Rostov-na-Donu; ;+7 863 268 8195;+7 863 268 8198;palmali@palmali.com;-;3 397 t;2 870 t;861 t;-;-;-;122,8 m;115,3 m;15,3 m;5,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;3 488;-;-;-;-;-;-;-
Brothers 7;Sea World Shipping;Diesel;Russian Federation;273422810;9035383;UGMQ;123x15 m;2 870 t;3 394 t;10 kn;"<span title=""Сегодня, 14:55"">только что</span>"; ; ;На Ходу;Ни одного;(Ø4,2 kn);3,2 m;156,1° ;-;"47°14'42"" N 39°59'44"" E";In Service;Taganrog;Rousse;Russian Maritime Register;1993;-;Steel;-;-;-;8NVDS48A-2U;-;1 280 / 1 740;375 rpm;-;-;-;-;Fixed Pitch;-;Maya Sitesi, Blok L, Ebulula Caddesi 1;34335;Istanbul; ;+90 212 350 0900;+90 212 350 0909;palmali@palmali.com;-;3 394 t;2 870 t;861 t;-;-;-;122,8 m;114,7 m;15,3 m;5,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;3 488;-;-;-;-;-;-;-
Brothers-2;Palmali Shipping & Agency;Diesel;Russian Federation;273454260;9113276;UDEQ;123x15 m;2 878 t;3 602 t;10 kn;"<span title=""Сегодня, 14:55"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0 kn);3,5 m;316° ;-;"47°10'23"" N 39°34'53"" E";In Service;Taganrog;Rousse;Russian Maritime Register;1995;-;Steel;-;Double Hull;-;8NVD48A-2U;-;1 280 / 1 740;375 rpm;-;-;-;-;Fixed Pitch;-;Maya Sitesi, Blok L, Ebulula Caddesi 1;34335;Istanbul; ;+90 212 350 0900;+90 212 350 0909;palmali@palmali.com;-;3 602 t;2 878 t;863 t;-;-;-;122,8 m;115,3 m;15,3 m;5,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brothers-4;Palmali Shipping & Agency;Diesel;Russian Federation;273458180;8848020;UIOQ;138x16 m;2 863 t;3 774 t;9 kn;"<span title=""Сегодня, 14:55"">только что</span>"; ; ;На Ходу;Ни одного;(Ø0,7 kn);3,5 m;268° ;-;"47°09'04"" N 39°27'15"" E";In Service;Taganrog;Varna;Russian Maritime Register;1985;-;Steel;-;Double Hull;-;6NVD48A-2U;-;1 280 / 1 740;-;-;-;-;-;Fixed Pitch;-;Office 602, prospekt Budyonnovskiy 2;344007;Rostov-na-Donu; ;+7 863 268 8195;+7 863 268 8198;palmali@palmali.com;-;3 774 t;2 863 t;858 t;-;-;-;122,8 m;117,8 m;15,3 m;5,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;1 930;-;-;-;-;-;-;-
Bumerang;Vagna-Shipping JSC;Diesel;Russian Federation;273420860;8942656;UBGE;89x12 m;1 778 t;1 844 t;10,5 kn;"<span title=""Сегодня, 14:56"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,3 kn);3,2 m;295° ;163°;"37°28'22"" N 49°27'58"" E";In Service;Makhachkala;Novi Sad;Russian Maritime Register;1986;-;Steel;-;-;Alpha;6T23LU;-;920 / 1 250;-;-;-;-;-;Fixed Pitch;-;ul Barklaya 17, Moscow, 121309, Russia;121309;Moscow; ;+7 495 142 2280;+7 495 145 2697;vagna@vagna.ptt.ru;-;1 844 t;1 778 t;576 t;-;-;-;88,7 m;83 m;12,5 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bumipokachi;;-;Russian Federation;273380020;9756511;UBYN2;82x17 m;Вчера, 23:45; ; ;На Ходу;Ни одного;(Ø4,8 kn);3,8 m;354,5° ;-;"46°14'33"" N 47°55'02"" E"
